disorder_group,ICD10_Code,description,flag
Substance-Related and Addictive Disorders,F13.988,"Sedative, hypnotic or anxiolytic use, unspecified with other sedative, hypnotic or anxiolytic-induced disorder",originalCodes
Substance-Related and Addictive Disorders,F13.99,"Sedative, hypnotic or anxiolytic use, unspecified with unspecified sedative, hypnotic or anxiolytic-induced disorder",originalCodes
Substance-Related and Addictive Disorders,F14.10,"Cocaine abuse, uncomplicated",originalCodes
Substance-Related and Addictive Disorders,F14.120,"Cocaine abuse with intoxication, uncomplicated",originalCodes
Substance-Related and Addictive Disorders,F14.121,Cocaine abuse with intoxication with delirium,originalCodes
Substance-Related and Addictive Disorders,F14.122,Cocaine abuse with intoxication with perceptual disturbance,originalCodes
Substance-Related and Addictive Disorders,F14.129,"Cocaine abuse with intoxication, unspecified",originalCodes
Substance-Related and Addictive Disorders,F14.14,Cocaine abuse with cocaine-induced mood disorder,originalCodes
Substance-Related and Addictive Disorders,F14.150,Cocaine abuse with cocaine-induced psychotic disorder with delusions,originalCodes
Substance-Related and Addictive Disorders,F14.151,Cocaine abuse with cocaine-induced psychotic disorder with hallucinations,originalCodes
Substance-Related and Addictive Disorders,F14.159,"Cocaine abuse with cocaine-induced psychotic disorder, unspecified",originalCodes
Substance-Related and Addictive Disorders,F14.180,Cocaine abuse with cocaine-induced anxiety disorder,originalCodes
Substance-Related and Addictive Disorders,F14.181,Cocaine abuse with cocaine-induced sexual dysfunction,originalCodes
Substance-Related and Addictive Disorders,F14.182,Cocaine abuse with cocaine-induced sleep disorder,originalCodes
Substance-Related and Addictive Disorders,F14.188,Cocaine abuse with other cocaine-induced disorder,originalCodes
Substance-Related and Addictive Disorders,F14.19,Cocaine abuse with unspecified cocaine-induced disorder,originalCodes
Substance-Related and Addictive Disorders,F14.20,"Cocaine dependence, uncomplicated",originalCodes
Substance-Related and Addictive Disorders,F14.21,"Cocaine dependence, in remission",originalCodes
Substance-Related and Addictive Disorders,F14.220,"Cocaine dependence with intoxication, uncomplicated",originalCodes
Substance-Related and Addictive Disorders,F14.221,Cocaine dependence with intoxication delirium,originalCodes
Substance-Related and Addictive Disorders,F14.222,Cocaine dependence with intoxication with perceptual disturbance,originalCodes
Substance-Related and Addictive Disorders,F14.229,"Cocaine dependence with intoxication, unspecified",originalCodes
Substance-Related and Addictive Disorders,F14.23,Cocaine dependence with withdrawal,originalCodes
Substance-Related and Addictive Disorders,F14.24,Cocaine dependence with cocaine-induced mood disorder,originalCodes
Substance-Related and Addictive Disorders,F14.250,Cocaine dependence with cocaine-induced psychotic disorder with delusions,originalCodes
Substance-Related and Addictive Disorders,F14.251,Cocaine dependence with cocaine-induced psychotic disorder with hallucinations,originalCodes
Substance-Related and Addictive Disorders,F14.259,"Cocaine dependence with cocaine-induced psychotic disorder, unspecified",originalCodes
Substance-Related and Addictive Disorders,F14.280,Cocaine dependence with cocaine-induced anxiety disorder,originalCodes
Substance-Related and Addictive Disorders,F14.281,Cocaine dependence with cocaine-induced sexual dysfunction,originalCodes
Substance-Related and Addictive Disorders,F14.282,Cocaine dependence with cocaine-induced sleep disorder,originalCodes
Substance-Related and Addictive Disorders,F14.288,Cocaine dependence with other cocaine-induced disorder,originalCodes
Substance-Related and Addictive Disorders,F14.29,Cocaine dependence with unspecified cocaine-induced disorder,originalCodes
Substance-Related and Addictive Disorders,F14.90,"Cocaine use, unspecified, uncomplicated",originalCodes
Substance-Related and Addictive Disorders,F14.920,"Cocaine use, unspecified with intoxication, uncomplicated",originalCodes
Substance-Related and Addictive Disorders,F14.921,"Cocaine use, unspecified with intoxication delirium",originalCodes
Substance-Related and Addictive Disorders,F14.922,"Cocaine use, unspecified with intoxication with perceptual disturbance",originalCodes
Substance-Related and Addictive Disorders,F14.929,"Cocaine use, unspecified with intoxication, unspecified",originalCodes
Substance-Related and Addictive Disorders,F14.94,"Cocaine use, unspecified with cocaine-induced mood disorder",originalCodes
Substance-Related and Addictive Disorders,F14.950,"Cocaine use, unspecified with cocaine-induced psychotic disorder with delusions",originalCodes
Substance-Related and Addictive Disorders,F14.951,"Cocaine use, unspecified with cocaine-induced psychotic disorder with hallucinations",originalCodes
Substance-Related and Addictive Disorders,F14.959,"Cocaine use, unspecified with cocaine-induced psychotic disorder, unspecified",originalCodes
Substance-Related and Addictive Disorders,F14.980,"Cocaine use, unspecified with cocaine-induced anxiety disorder",originalCodes
Substance-Related and Addictive Disorders,F14.981,"Cocaine use, unspecified with cocaine-induced sexual dysfunction",originalCodes
Substance-Related and Addictive Disorders,F14.982,"Cocaine use, unspecified with cocaine-induced sleep disorder",originalCodes
Substance-Related and Addictive Disorders,F14.988,"Cocaine use, unspecified with other cocaine-induced disorder",originalCodes
Substance-Related and Addictive Disorders,F14.99,"Cocaine use, unspecified with unspecified cocaine-induced disorder",originalCodes
Substance-Related and Addictive Disorders,F15.10,"Other stimulant abuse, uncomplicated",originalCodes
Substance-Related and Addictive Disorders,F15.120,"Other stimulant abuse with intoxication, uncomplicated",originalCodes
Substance-Related and Addictive Disorders,F15.121,Other stimulant abuse with intoxication delirium,originalCodes
Substance-Related and Addictive Disorders,F15.122,Other stimulant abuse with intoxication with perceptual disturbance,originalCodes
Substance-Related and Addictive Disorders,F15.129,"Other stimulant abuse with intoxication, unspecified",originalCodes
Substance-Related and Addictive Disorders,F15.14,Other stimulant abuse with stimulant-induced mood disorder,originalCodes
Substance-Related and Addictive Disorders,F15.150,Other stimulant abuse with stimulant-induced psychotic disorder with delusions,originalCodes
Substance-Related and Addictive Disorders,F15.151,Other stimulant abuse with stimulant-induced psychotic disorder with hallucinations,originalCodes
Substance-Related and Addictive Disorders,F15.159,"Other stimulant abuse with stimulant-induced psychotic disorder, unspecified",originalCodes
Substance-Related and Addictive Disorders,F15.180,Other stimulant abuse with stimulant-induced anxiety disorder,originalCodes
Substance-Related and Addictive Disorders,F15.181,Other stimulant abuse with stimulant-induced sexual dysfunction,originalCodes
Substance-Related and Addictive Disorders,F15.182,Other stimulant abuse with stimulant-induced sleep disorder,originalCodes
Substance-Related and Addictive Disorders,F15.188,Other stimulant abuse with other stimulant-induced disorder,originalCodes
Substance-Related and Addictive Disorders,F15.19,Other stimulant abuse with unspecified stimulant-induced disorder,originalCodes
Substance-Related and Addictive Disorders,F15.20,"Other stimulant dependence, uncomplicated",originalCodes
Substance-Related and Addictive Disorders,F15.21,"Other stimulant dependence, in remission",originalCodes
Substance-Related and Addictive Disorders,F15.220,"Other stimulant dependence with intoxication, uncomplicated",originalCodes
Substance-Related and Addictive Disorders,F15.221,Other stimulant dependence with intoxication delirium,originalCodes
Substance-Related and Addictive Disorders,F15.222,Other stimulant dependence with intoxication with perceptual disturbance,originalCodes
Substance-Related and Addictive Disorders,F15.229,"Other stimulant dependence with intoxication, unspecified",originalCodes
Substance-Related and Addictive Disorders,F15.23,Other stimulant dependence with withdrawal,originalCodes
Substance-Related and Addictive Disorders,F15.24,Other stimulant dependence with stimulant-induced mood disorder,originalCodes
Substance-Related and Addictive Disorders,F15.250,Other stimulant dependence with stimulant-induced psychotic disorder with delusions,originalCodes
Substance-Related and Addictive Disorders,F15.251,Other stimulant dependence with stimulant-induced psychotic disorder with hallucinations,originalCodes
Substance-Related and Addictive Disorders,F15.259,"Other stimulant dependence with stimulant-induced psychotic disorder, unspecified",originalCodes
Substance-Related and Addictive Disorders,F15.280,Other stimulant dependence with stimulant-induced anxiety disorder,originalCodes
Substance-Related and Addictive Disorders,F15.281,Other stimulant dependence with stimulant-induced sexual dysfunction,originalCodes
Substance-Related and Addictive Disorders,F15.282,Other stimulant dependence with stimulant-induced sleep disorder,originalCodes
Substance-Related and Addictive Disorders,F15.288,Other stimulant dependence with other stimulant-induced disorder,originalCodes
Substance-Related and Addictive Disorders,F15.29,Other stimulant dependence with unspecified stimulant-induced disorder,originalCodes
Substance-Related and Addictive Disorders,F15.90,"Other stimulant use, unspecified, uncomplicated",originalCodes
Substance-Related and Addictive Disorders,F15.920,"Other stimulant use, unspecified with intoxication, uncomplicated",originalCodes
Substance-Related and Addictive Disorders,F15.921,"Other stimulant use, unspecified with intoxication delirium",originalCodes
Substance-Related and Addictive Disorders,F15.922,"Other stimulant use, unspecified with intoxication with perceptual disturbance",originalCodes
Substance-Related and Addictive Disorders,F15.929,"Other stimulant use, unspecified with intoxication, unspecified",originalCodes
Substance-Related and Addictive Disorders,F15.93,"Other stimulant use, unspecified with withdrawal",originalCodes
Substance-Related and Addictive Disorders,F15.94,"Other stimulant use, unspecified with stimulant-induced mood disorder",originalCodes
Substance-Related and Addictive Disorders,F15.950,"Other stimulant use, unspecified with stimulant-induced psychotic disorder with delusions",originalCodes
Substance-Related and Addictive Disorders,F15.951,"Other stimulant use, unspecified with stimulant-induced psychotic disorder with hallucinations",originalCodes
Substance-Related and Addictive Disorders,F15.959,"Other stimulant use, unspecified with stimulant-induced psychotic disorder, unspecified",originalCodes
Substance-Related and Addictive Disorders,F15.980,"Other stimulant use, unspecified with stimulant-induced anxiety disorder",originalCodes
Substance-Related and Addictive Disorders,F15.981,"Other stimulant use, unspecified with stimulant-induced sexual dysfunction",originalCodes
Substance-Related and Addictive Disorders,F15.982,"Other stimulant use, unspecified with stimulant-induced sleep disorder",originalCodes
Substance-Related and Addictive Disorders,F15.988,"Other stimulant use, unspecified with other stimulant-induced disorder",originalCodes
Substance-Related and Addictive Disorders,F15.99,"Other stimulant use, unspecified with unspecified stimulant-induced disorder",originalCodes
Substance-Related and Addictive Disorders,F16.10,"Hallucinogen abuse, uncomplicated",originalCodes
Substance-Related and Addictive Disorders,F16.120,"Hallucinogen abuse with intoxication, uncomplicated",originalCodes
Substance-Related and Addictive Disorders,F16.121,Hallucinogen abuse with intoxication with delirium,originalCodes
Substance-Related and Addictive Disorders,F16.122,Hallucinogen abuse with intoxication with perceptual disturbance,originalCodes
Substance-Related and Addictive Disorders,F16.129,"Hallucinogen abuse with intoxication, unspecified",originalCodes
Substance-Related and Addictive Disorders,F16.14,Hallucinogen abuse with hallucinogen-induced mood disorder,originalCodes
Substance-Related and Addictive Disorders,F16.150,Hallucinogen abuse with hallucinogen-induced psychotic disorder with delusions,originalCodes
Substance-Related and Addictive Disorders,F16.151,Hallucinogen abuse with hallucinogen-induced psychotic disorder with hallucinations,originalCodes
Substance-Related and Addictive Disorders,F16.159,"Hallucinogen abuse with hallucinogen-induced psychotic disorder, unspecified",originalCodes
Substance-Related and Addictive Disorders,F16.180,Hallucinogen abuse with hallucinogen-induced anxiety disorder,originalCodes
Substance-Related and Addictive Disorders,F16.183,Hallucinogen abuse with hallucinogen persisting perception disorder (flashbacks),originalCodes
Substance-Related and Addictive Disorders,F16.188,Hallucinogen abuse with other hallucinogen-induced disorder,originalCodes
Substance-Related and Addictive Disorders,F16.19,Hallucinogen abuse with unspecified hallucinogen-induced disorder,originalCodes
Substance-Related and Addictive Disorders,F16.20,"Hallucinogen dependence, uncomplicated",originalCodes
Substance-Related and Addictive Disorders,F16.21,"Hallucinogen dependence, in remission",originalCodes
Substance-Related and Addictive Disorders,F16.220,"Hallucinogen dependence with intoxication, uncomplicated",originalCodes
Substance-Related and Addictive Disorders,F16.221,Hallucinogen dependence with intoxication with delirium,originalCodes
Substance-Related and Addictive Disorders,F16.229,"Hallucinogen dependence with intoxication, unspecified",originalCodes
Substance-Related and Addictive Disorders,F16.24,Hallucinogen dependence with hallucinogen-induced mood disorder,originalCodes
Substance-Related and Addictive Disorders,F16.250,Hallucinogen dependence with hallucinogen-induced psychotic disorder with delusions,originalCodes
Substance-Related and Addictive Disorders,F16.251,Hallucinogen dependence with hallucinogen-induced psychotic disorder with hallucinations,originalCodes
Substance-Related and Addictive Disorders,F16.259,"Hallucinogen dependence with hallucinogen-induced psychotic disorder, unspecified",originalCodes
Substance-Related and Addictive Disorders,F16.280,Hallucinogen dependence with hallucinogen-induced anxiety disorder,originalCodes
Substance-Related and Addictive Disorders,F16.283,Hallucinogen dependence with hallucinogen persisting perception disorder (flashbacks),originalCodes
Substance-Related and Addictive Disorders,F16.288,Hallucinogen dependence with other hallucinogen-induced disorder,originalCodes
Substance-Related and Addictive Disorders,F16.29,Hallucinogen dependence with unspecified hallucinogen-induced disorder,originalCodes
Substance-Related and Addictive Disorders,F16.90,"Hallucinogen use, unspecified, uncomplicated",originalCodes
Substance-Related and Addictive Disorders,F16.920,"Hallucinogen use, unspecified with intoxication, uncomplicated",originalCodes
Substance-Related and Addictive Disorders,F16.921,"Hallucinogen use, unspecified with intoxication with delirium",originalCodes
Substance-Related and Addictive Disorders,F16.929,"Hallucinogen use, unspecified with intoxication, unspecified",originalCodes
Substance-Related and Addictive Disorders,F16.94,"Hallucinogen use, unspecified with hallucinogen-induced mood disorder",originalCodes
Substance-Related and Addictive Disorders,F16.950,"Hallucinogen use, unspecified with hallucinogen-induced psychotic disorder with delusions",originalCodes
Substance-Related and Addictive Disorders,F16.951,"Hallucinogen use, unspecified with hallucinogen-induced psychotic disorder with hallucinations",originalCodes
Substance-Related and Addictive Disorders,F16.959,"Hallucinogen use, unspecified with hallucinogen-induced psychotic disorder, unspecified",originalCodes
Substance-Related and Addictive Disorders,F16.980,"Hallucinogen use, unspecified with hallucinogen-induced anxiety disorder",originalCodes
Substance-Related and Addictive Disorders,F16.983,"Hallucinogen use, unspecified with hallucinogen persisting perception disorder (flashbacks)",originalCodes
Substance-Related and Addictive Disorders,F16.988,"Hallucinogen use, unspecified with other hallucinogen-induced disorder",originalCodes
Substance-Related and Addictive Disorders,F16.99,"Hallucinogen use, unspecified with unspecified hallucinogen-induced disorder",originalCodes
Substance-Related and Addictive Disorders,F17.200,"Nicotine dependence, unspecified, uncomplicated",originalCodes
Substance-Related and Addictive Disorders,F17.201,"Nicotine dependence, unspecified, in remission",originalCodes
Substance-Related and Addictive Disorders,F17.203,"Nicotine dependence unspecified, with withdrawal",originalCodes
Substance-Related and Addictive Disorders,F17.208,"Nicotine dependence, unspecified, with other nicotine-induced disorders",originalCodes
Substance-Related and Addictive Disorders,F17.209,"Nicotine dependence, unspecified, with unspecified nicotine-induced disorders",originalCodes
Substance-Related and Addictive Disorders,F17.210,"Nicotine dependence, cigarettes, uncomplicated",originalCodes
Substance-Related and Addictive Disorders,F17.211,"Nicotine dependence, cigarettes, in remission",originalCodes
Substance-Related and Addictive Disorders,F17.213,"Nicotine dependence, cigarettes, with withdrawal",originalCodes
Substance-Related and Addictive Disorders,F17.218,"Nicotine dependence, cigarettes, with other nicotine-induced disorders",originalCodes
Substance-Related and Addictive Disorders,F17.219,"Nicotine dependence, cigarettes, with unspecified nicotine-induced disorders",originalCodes
Substance-Related and Addictive Disorders,F17.220,"Nicotine dependence, chewing tobacco, uncomplicated",originalCodes
Substance-Related and Addictive Disorders,F17.221,"Nicotine dependence, chewing tobacco, in remission",originalCodes
Substance-Related and Addictive Disorders,F17.223,"Nicotine dependence, chewing tobacco, with withdrawal",originalCodes
Substance-Related and Addictive Disorders,F17.228,"Nicotine dependence, chewing tobacco, with other nicotine-induced disorders",originalCodes
Substance-Related and Addictive Disorders,F17.229,"Nicotine dependence, chewing tobacco, with unspecified nicotine-induced disorders",originalCodes
Substance-Related and Addictive Disorders,F17.290,"Nicotine dependence, other tobacco product, uncomplicated",originalCodes
Substance-Related and Addictive Disorders,F17.291,"Nicotine dependence, other tobacco product, in remission",originalCodes
Substance-Related and Addictive Disorders,F17.293,"Nicotine dependence, other tobacco product, with withdrawal",originalCodes
Substance-Related and Addictive Disorders,F17.298,"Nicotine dependence, other tobacco product, with other nicotine-induced disorders",originalCodes
Substance-Related and Addictive Disorders,F17.299,"Nicotine dependence, other tobacco product, with unspecified nicotine-induced disorders",originalCodes
Substance-Related and Addictive Disorders,F18.10,"Inhalant abuse, uncomplicated",originalCodes
Substance-Related and Addictive Disorders,F18.120,"Inhalant abuse with intoxication, uncomplicated",originalCodes
Substance-Related and Addictive Disorders,F18.121,Inhalant abuse with intoxication delirium,originalCodes
Substance-Related and Addictive Disorders,F18.129,"Inhalant abuse with intoxication, unspecified",originalCodes
Substance-Related and Addictive Disorders,F18.14,Inhalant abuse with inhalant-induced mood disorder,originalCodes
Substance-Related and Addictive Disorders,F18.150,Inhalant abuse with inhalant-induced psychotic disorder with delusions,originalCodes
Substance-Related and Addictive Disorders,F18.151,Inhalant abuse with inhalant-induced psychotic disorder with hallucinations,originalCodes
Substance-Related and Addictive Disorders,F18.159,"Inhalant abuse with inhalant-induced psychotic disorder, unspecified",originalCodes
Substance-Related and Addictive Disorders,F18.17,Inhalant abuse with inhalant-induced dementia,originalCodes
Substance-Related and Addictive Disorders,F18.180,Inhalant abuse with inhalant-induced anxiety disorder,originalCodes
Substance-Related and Addictive Disorders,F18.188,Inhalant abuse with other inhalant-induced disorder,originalCodes
Substance-Related and Addictive Disorders,F18.19,Inhalant abuse with unspecified inhalant-induced disorder,originalCodes
Substance-Related and Addictive Disorders,F18.20,"Inhalant dependence, uncomplicated",originalCodes
Substance-Related and Addictive Disorders,F18.21,"Inhalant dependence, in remission",originalCodes
Substance-Related and Addictive Disorders,F18.220,"Inhalant dependence with intoxication, uncomplicated",originalCodes
Substance-Related and Addictive Disorders,F18.221,Inhalant dependence with intoxication delirium,originalCodes
Substance-Related and Addictive Disorders,F18.229,"Inhalant dependence with intoxication, unspecified",originalCodes
Substance-Related and Addictive Disorders,F18.24,Inhalant dependence with inhalant-induced mood disorder,originalCodes
Substance-Related and Addictive Disorders,F18.250,Inhalant dependence with inhalant-induced psychotic disorder with delusions,originalCodes
Substance-Related and Addictive Disorders,F18.251,Inhalant dependence with inhalant-induced psychotic disorder with hallucinations,originalCodes
Substance-Related and Addictive Disorders,F18.259,"Inhalant dependence with inhalant-induced psychotic disorder, unspecified",originalCodes
Substance-Related and Addictive Disorders,F18.27,Inhalant dependence with inhalant-induced dementia,originalCodes
Substance-Related and Addictive Disorders,F18.280,Inhalant dependence with inhalant-induced anxiety disorder,originalCodes
Substance-Related and Addictive Disorders,F18.288,Inhalant dependence with other inhalant-induced disorder,originalCodes
Substance-Related and Addictive Disorders,F18.29,Inhalant dependence with unspecified inhalant-induced disorder,originalCodes
Substance-Related and Addictive Disorders,F18.90,"Inhalant use, unspecified, uncomplicated",originalCodes
Substance-Related and Addictive Disorders,F18.920,"Inhalant use, unspecified with intoxication, uncomplicated",originalCodes
Substance-Related and Addictive Disorders,F18.921,"Inhalant use, unspecified with intoxication with delirium",originalCodes
Substance-Related and Addictive Disorders,F18.929,"Inhalant use, unspecified with intoxication, unspecified",originalCodes
Substance-Related and Addictive Disorders,F18.94,"Inhalant use, unspecified with inhalant-induced mood disorder",originalCodes
Substance-Related and Addictive Disorders,F18.950,"Inhalant use, unspecified with inhalant-induced psychotic disorder with delusions",originalCodes
Substance-Related and Addictive Disorders,F18.951,"Inhalant use, unspecified with inhalant-induced psychotic disorder with hallucinations",originalCodes
Substance-Related and Addictive Disorders,F18.959,"Inhalant use, unspecified with inhalant-induced psychotic disorder, unspecified",originalCodes
Substance-Related and Addictive Disorders,F18.97,"Inhalant use, unspecified with inhalant-induced persisting dementia",originalCodes
Substance-Related and Addictive Disorders,F18.980,"Inhalant use, unspecified with inhalant-induced anxiety disorder",originalCodes
Substance-Related and Addictive Disorders,F18.988,"Inhalant use, unspecified with other inhalant-induced disorder",originalCodes
Substance-Related and Addictive Disorders,F18.99,"Inhalant use, unspecified with unspecified inhalant-induced disorder",originalCodes
Substance-Related and Addictive Disorders,F19.10,"Other psychoactive substance abuse, uncomplicated",originalCodes
Substance-Related and Addictive Disorders,F19.120,"Other psychoactive substance abuse with intoxication, uncomplicated",originalCodes
Substance-Related and Addictive Disorders,F19.121,Other psychoactive substance abuse with intoxication delirium,originalCodes
Substance-Related and Addictive Disorders,F19.122,Other psychoactive substance abuse with intoxication with perceptual disturbances,originalCodes
Substance-Related and Addictive Disorders,F19.129,"Other psychoactive substance abuse with intoxication, unspecified",originalCodes
Substance-Related and Addictive Disorders,F19.14,Other psychoactive substance abuse with psychoactive substance-induced mood disorder,originalCodes
Substance-Related and Addictive Disorders,F19.150,Other psychoactive substance abuse with psychoactive substance-induced psychotic disorder with delusions,originalCodes
Substance-Related and Addictive Disorders,F19.151,Other psychoactive substance abuse with psychoactive substance-induced psychotic disorder with hallucinations,originalCodes
Substance-Related and Addictive Disorders,F19.159,"Other psychoactive substance abuse with psychoactive substance-induced psychotic disorder, unspecified",originalCodes
Substance-Related and Addictive Disorders,F19.16,Other psychoactive substance abuse with psychoactive substance-induced persisting amnestic disorder,originalCodes
Substance-Related and Addictive Disorders,F19.17,Other psychoactive substance abuse with psychoactive substance-induced persisting dementia,originalCodes
Substance-Related and Addictive Disorders,F19.180,Other psychoactive substance abuse with psychoactive substance-induced anxiety disorder,originalCodes
Substance-Related and Addictive Disorders,F19.181,Other psychoactive substance abuse with psychoactive substance-induced sexual dysfunction,originalCodes
Substance-Related and Addictive Disorders,F19.182,Other psychoactive substance abuse with psychoactive substance-induced sleep disorder,originalCodes
Substance-Related and Addictive Disorders,F19.188,Other psychoactive substance abuse with other psychoactive substance-induced disorder,originalCodes
Substance-Related and Addictive Disorders,F19.19,Other psychoactive substance abuse with unspecified psychoactive substance-induced disorder,originalCodes
Substance-Related and Addictive Disorders,F19.20,"Other psychoactive substance dependence, uncomplicated",originalCodes
Substance-Related and Addictive Disorders,F19.21,"Other psychoactive substance dependence, in remission",originalCodes
Substance-Related and Addictive Disorders,F19.220,"Other psychoactive substance dependence with intoxication, uncomplicated",originalCodes
Substance-Related and Addictive Disorders,F19.221,Other psychoactive substance dependence with intoxication delirium,originalCodes
Substance-Related and Addictive Disorders,F19.222,Other psychoactive substance dependence with intoxication with perceptual disturbance,originalCodes
Substance-Related and Addictive Disorders,F19.229,"Other psychoactive substance dependence with intoxication, unspecified",originalCodes
Substance-Related and Addictive Disorders,F19.230,"Other psychoactive substance dependence with withdrawal, uncomplicated",originalCodes
Substance-Related and Addictive Disorders,F19.231,Other psychoactive substance dependence with withdrawal delirium,originalCodes
Substance-Related and Addictive Disorders,F19.232,Other psychoactive substance dependence with withdrawal with perceptual disturbance,originalCodes
Substance-Related and Addictive Disorders,F19.239,"Other psychoactive substance dependence with withdrawal, unspecified",originalCodes
Substance-Related and Addictive Disorders,F19.24,Other psychoactive substance dependence with psychoactive substance-induced mood disorder,originalCodes
Substance-Related and Addictive Disorders,F19.250,Other psychoactive substance dependence with psychoactive substance-induced psychotic disorder with delusions,originalCodes
Substance-Related and Addictive Disorders,F19.251,Other psychoactive substance dependence with psychoactive substance-induced psychotic disorder with hallucinations,originalCodes
Substance-Related and Addictive Disorders,F19.259,"Other psychoactive substance dependence with psychoactive substance-induced psychotic disorder, unspecified",originalCodes
Substance-Related and Addictive Disorders,F19.26,Other psychoactive substance dependence with psychoactive substance-induced persisting amnestic disorder,originalCodes
Substance-Related and Addictive Disorders,F19.27,Other psychoactive substance dependence with psychoactive substance-induced persisting dementia,originalCodes
Substance-Related and Addictive Disorders,F19.280,Other psychoactive substance dependence with psychoactive substance-induced anxiety disorder,originalCodes
Substance-Related and Addictive Disorders,F19.281,Other psychoactive substance dependence with psychoactive substance-induced sexual dysfunction,originalCodes
Substance-Related and Addictive Disorders,F19.282,Other psychoactive substance dependence with psychoactive substance-induced sleep disorder,originalCodes
Substance-Related and Addictive Disorders,F19.288,Other psychoactive substance dependence with other psychoactive substance-induced disorder,originalCodes
Substance-Related and Addictive Disorders,F19.29,Other psychoactive substance dependence with unspecified psychoactive substance-induced disorder,originalCodes
Substance-Related and Addictive Disorders,F19.90,"Other psychoactive substance use, unspecified, uncomplicated",originalCodes
Substance-Related and Addictive Disorders,F19.920,"Other psychoactive substance use, unspecified with intoxication, uncomplicated",originalCodes
Substance-Related and Addictive Disorders,F19.921,"Other psychoactive substance use, unspecified with intoxication with delirium",originalCodes
Substance-Related and Addictive Disorders,F19.922,"Other psychoactive substance use, unspecified with intoxication with perceptual disturbance",originalCodes
Substance-Related and Addictive Disorders,F19.929,"Other psychoactive substance use, unspecified with intoxication, unspecified",originalCodes
Substance-Related and Addictive Disorders,F19.930,"Other psychoactive substance use, unspecified with withdrawal, uncomplicated",originalCodes
Substance-Related and Addictive Disorders,F19.931,"Other psychoactive substance use, unspecified with withdrawal delirium",originalCodes
Substance-Related and Addictive Disorders,F19.932,"Other psychoactive substance use, unspecified with withdrawal with perceptual disturbance",originalCodes
Substance-Related and Addictive Disorders,F19.939,"Other psychoactive substance use, unspecified with withdrawal, unspecified",originalCodes
Substance-Related and Addictive Disorders,F19.94,"Other psychoactive substance use, unspecified with psychoactive substance-induced mood disorder",originalCodes
Substance-Related and Addictive Disorders,F19.950,"Other psychoactive substance use, unspecified with psychoactive substance-induced psychotic disorder with delusions",originalCodes
Substance-Related and Addictive Disorders,F19.951,"Other psychoactive substance use, unspecified with psychoactive substance-induced psychotic disorder with hallucinations",originalCodes
Substance-Related and Addictive Disorders,F19.959,"Other psychoactive substance use, unspecified with psychoactive substance-induced psychotic disorder, unspecified",originalCodes
Substance-Related and Addictive Disorders,F19.96,"Other psychoactive substance use, unspecified with psychoactive substance-induced persisting amnestic disorder",originalCodes
Substance-Related and Addictive Disorders,F19.97,"Other psychoactive substance use, unspecified with psychoactive substance-induced persisting dementia",originalCodes
Substance-Related and Addictive Disorders,F19.980,"Other psychoactive substance use, unspecified with psychoactive substance-induced anxiety disorder",originalCodes
Substance-Related and Addictive Disorders,F19.981,"Other psychoactive substance use, unspecified with psychoactive substance-induced sexual dysfunction",originalCodes
Substance-Related and Addictive Disorders,F19.982,"Other psychoactive substance use, unspecified with psychoactive substance-induced sleep disorder",originalCodes
Substance-Related and Addictive Disorders,F19.988,"Other psychoactive substance use, unspecified with other psychoactive substance-induced disorder",originalCodes
Substance-Related and Addictive Disorders,F19.99,"Other psychoactive substance use, unspecified with unspecified psychoactive substance-induced disorder",originalCodes
Suicide or Self-Injury,R45.851,Suicidal ideations,originalCodes
Suicide or Self-Injury,T14.91,Suicide attempt,originalCodes
Suicide or Self-Injury,T14.91XA,"Suicide attempt, initial encounter",originalCodes
Suicide or Self-Injury,T14.91XS,"Suicide attempt, sequela",originalCodes
Suicide or Self-Injury,T36.0X2A,"Poisoning by penicillins, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T36.0X2S,"Poisoning by penicillins, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T36.1X2A,"Poisoning by cephalosporins and other beta-lactam antibiotics, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T36.1X2S,"Poisoning by cephalosporins and other beta-lactam antibiotics, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T36.2X2A,"Poisoning by chloramphenicol group, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T36.2X2S,"Poisoning by chloramphenicol group, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T36.3X2A,"Poisoning by macrolides, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T36.3X2S,"Poisoning by macrolides, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T36.4X2A,"Poisoning by tetracyclines, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T36.4X2S,"Poisoning by tetracyclines, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T36.5X2A,"Poisoning by aminoglycosides, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T36.5X2S,"Poisoning by aminoglycosides, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T36.6X2A,"Poisoning by rifampicins, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T36.6X2S,"Poisoning by rifampicins, intentional self-harm, sequela",originalCodes
